CLAIM_ID,POLICYHOLDER_AGE,POLICYHOLDER_GENDER,WARRANTY,CLAIM_DATE,CLAIM_REGION,CLAIM_PROVINCE,VEHICLE_BRAND,VEHICLE_MODEL,CLAIM_AMOUNT_PAID,PREMIUM_AMOUNT_PAID
99300,68,M,CIVIL LIABILITY INSURANCE,11/09/2022,FRIULI VENEZIA GIULIA,UD,ALFA ROMEO,MITO,1302.0,393.2
223035,73,M,CIVIL LIABILITY INSURANCE,02/11/2022,LOMBARDIA,MB,FORD,C-Max 2a serie,600.0,393.2
216917,60,M,CIVIL LIABILITY INSURANCE,23/09/2024,PIEMONTE,TO,FIAT,PANDA 2? SERIE,3006.0,393.2
216146,68,M,CIVIL LIABILITY INSURANCE,08/08/2022,TOSCANA,GR,Aprilia,Scarabeo 50,1940.0,393.2
120708,22,M,CIVIL LIABILITY INSURANCE,06/05/2024,LOMBARDIA,BG,RENAULT,CLIO 4? SERIE,1838.0,393.2
51668,53,M,NATURAL DISASTERS,07/06/2022,EMILIA ROMAGNA,MO,HYUNDAI,ix20,1500.0,80.59
98451,49,M,CIVIL LIABILITY INSURANCE,05/10/2024,CAMPANIA,SA,PEUGEOT,508,1800.0,393.2
177676,63,F,GLASSES,13/09/2024,LOMBARDIA,PV,FIAT,500  2015--->,116.0,47.04
222081,53,M,CIVIL LIABILITY INSURANCE,27/12/2023,SICILIA,TP,VOLKSWAGEN,T-CROSS,2054.0,393.2
129029,76,M,CIVIL LIABILITY INSURANCE,11/09/2024,PUGLIA,FG,HONDA,CRF1000L AFRICA TWIN,7480.0,393.2
35176,72,F,GLASSES,19/04/2022,LIGURIA,SP,AUDI,A4 ALLROAD 2a SERIE,800.0,47.04
237563,73,M,GLASSES,18/10/2023,CALABRIA,CS,FIAT,500L,599.99,47.04
125179,32,M,CIVIL LIABILITY INSURANCE,05/09/2022,VENETO,PD,FORD,FIESTA 5a SERIE,1940.0,393.2
169498,51,M,CIVIL LIABILITY INSURANCE,08/08/2023,PIEMONTE,TO,HYUNDAI,TUCSON 1? SERIE,2439.0,393.2
20141,83,M,CIVIL LIABILITY INSURANCE,31/08/2022,MARCHE,MC,FIAT,PANDA 2a SERIE,1194.61,393.2
7298,53,M,CIVIL LIABILITY INSURANCE,29/10/2022,LOMBARDIA,LC,RENAULT,CAPTUR 2a SERIE,1940.0,393.2
2992,49,F,SPECIAL TRAVEL,14/01/2023,CALABRIA,RC,VOLKSWAGEN,Golf 7a serie,250.1,23.31
154148,66,F,TRAVEL ASSISTANCE,15/11/2024,EMILIA ROMAGNA,RE,PEUGEOT,107,121.33,32.21
181267,82,M,CIVIL LIABILITY INSURANCE,12/05/2024,EMILIA ROMAGNA,BO,KYMCO,PEOPLE 125,300.0,393.2
86680,44,M,SOCIOPOLITICAL EVENTS,04/05/2024,PIEMONTE,TO,VOLVO,XC60  2008-2018,5548.0,94.86
19900,65,M,NATURAL DISASTERS,12/07/2024,LOMBARDIA,MI,LANCIA,YPSILON 3? SERIE,2394.0,80.59
70726,65,M,TRAVEL ASSISTANCE,30/08/2023,MARCHE,PU,RENAULT,TWINGO 2A SERIE,134.2,32.21
149944,79,M,THEFT,24/07/2023,VENETO,PD,MERCEDES,CLASSE S   (W/V222),326.0,117.56
96443,74,M,CIVIL LIABILITY INSURANCE,28/03/2022,PIEMONTE,TO,FIAT,Panda 3a serie,300.0,393.2
87818,61,F,CIVIL LIABILITY INSURANCE,11/03/2024,ABRUZZO,TE,AUDI,A3 2? SERIE,2128.0,393.2
5881,26,M,CIVIL LIABILITY INSURANCE,27/01/2023,EMILIA ROMAGNA,BO,CITROEN,C3 3a serie,1030.0,393.2
99478,53,F,CIVIL LIABILITY INSURANCE,23/12/2023,PUGLIA,BR,IVECO,DAYLI 35/10,4019.5,393.2
128975,52,F,GLASSES,26/01/2024,LIGURIA,SV,SUZUKI,VITARA  2015,600.0,47.04
184739,66,M,CIVIL LIABILITY INSURANCE,01/04/2022,VENETO,PD,VOLVO,XC60 (2017--->),480.0,393.2
81717,45,M,GLASSES,05/08/2024,TOSCANA,PI,VOLKSWAGEN,GOLF 7A SERIE,600.0,47.04
74987,57,M,CIVIL LIABILITY INSURANCE,28/04/2023,UMBRIA,PG,KTM,1090 ADVENTURE,7950.0,393.2
212696,33,M,TRAVEL ASSISTANCE,25/03/2024,LOMBARDIA,VA,SMART,FORTWO 2A SERIE,728.61,32.21
197292,45,F,GLASSES,20/09/2023,PIEMONTE,AL,NISSAN,Micra 2a serie,158.6,47.04
167045,71,F,GLASSES,08/06/2023,SICILIA,CT,FORD,Fiesta 6a serie,251.75,47.04
172825,55,M,CIVIL LIABILITY INSURANCE,12/09/2024,PIEMONTE,TO,SUZUKI,SWIFT  2005-2010,670.0,393.2
149552,56,F,CIVIL LIABILITY INSURANCE,31/07/2022,LOMBARDIA,CO,TOYOTA,Yaris,1940.0,393.2
209231,76,F,CIVIL LIABILITY INSURANCE,23/11/2023,LIGURIA,GE,TOYOTA,AYGO 2A SERIE,1000.0,393.2
154064,31,M,CIVIL LIABILITY INSURANCE,17/03/2024,SICILIA,PA,RENAULT,KADJAR,1838.0,393.2
149479,38,F,CIVIL LIABILITY INSURANCE,04/05/2024,TOSCANA,MS,FIAT,PANDA 2A SERIE,2526.0,393.2
157788,44,M,CIVIL LIABILITY INSURANCE,14/11/2023,SICILIA,RG,PIAGGIO,ZIP 50,2060.0,393.2
1856,52,F,CIVIL LIABILITY INSURANCE,24/12/2022,PIEMONTE,CN,JEEP,Renegade,1940.0,393.2
51222,39,M,CIVIL LIABILITY INSURANCE,25/03/2023,PIEMONTE,TO,SUZUKI,Jimny 3a serie,2919.0,393.2
77625,41,M,NATURAL DISASTERS,24/07/2023,LOMBARDIA,BS,SUZUKI,Vitara (2015),3180.0,80.59
226167,57,M,CIVIL LIABILITY INSURANCE,24/07/2022,LAZIO,RM,RENAULT,Megane 3a serie,2500.0,393.2
111645,69,M,TRAVEL ASSISTANCE,06/07/2022,UMBRIA,PG,BMW,X3 (F25),101.66,32.21
190184,27,M,GLASSES,05/06/2023,PIEMONTE,AT,VOLKSWAGEN,GOLF 7? SERIE,654.0,47.04
106176,85,M,CIVIL LIABILITY INSURANCE,13/03/2023,CAMPANIA,,KIA,Picanto 3a serie,2800.0,393.2
56255,74,M,CIVIL LIABILITY INSURANCE,11/04/2024,VENETO,VI,RENAULT,CLIO 4A SERIE,1220.0,393.2
96163,57,M,CIVIL LIABILITY INSURANCE,09/01/2024,CAMPANIA,,HONDA,SH 125,5128.0,393.2
121398,31,M,ACCIDENTS,15/05/2022,LOMBARDIA,BS,Ducati,Streetfighter V4,3889.0,19.08
63188,47,M,TRAVEL ASSISTANCE,24/02/2024,PIEMONTE,BI,FORD,TOURNEO CONNECT 3?S,449.1,32.21
175672,59,F,CIVIL LIABILITY INSURANCE,14/07/2022,SICILIA,ME,BMW,Serie 5   (E60/E61),2055.0,393.2
144982,47,F,TRAVEL ASSISTANCE,08/07/2022,VENETO,TV,OPEL,Corsa 4a serie,146.4,32.21
35020,52,F,CIVIL LIABILITY INSURANCE,27/06/2022,MARCHE,MC,HONDA,SH,5090.0,393.2
153131,46,F,CIVIL LIABILITY INSURANCE,28/02/2023,VENETO,TV,MERCEDES,CLASSE A   (W/C169),3325.0,393.2
233117,61,M,SAFE REIMBURSEMENT OPTION,04/03/2022,VENETO,TV,CITROEN,C3 Aircross,4000.0,106.69
116613,62,F,NATURAL DISASTERS,28/06/2022,PIEMONTE,TO,FIAT,Panda 2a serie,1900.0,80.59
142979,51,M,CIVIL LIABILITY INSURANCE,19/03/2024,LOMBARDIA,VA,ALFA ROMEO,MITO,1284.0,393.2
118306,50,M,CIVIL LIABILITY INSURANCE,07/07/2023,PIEMONTE,CN,TRATTORE,TRATTORE,2200.0,393.2
46108,52,F,CIVIL LIABILITY INSURANCE,06/05/2022,FRIULI VENEZIA GIULIA,UD,VOLKSWAGEN,Polo 5a serie,937.96,393.2
111752,31,M,CIVIL LIABILITY INSURANCE,23/10/2023,LOMBARDIA,CO,VOLKSWAGEN,GOLF 7? SERIE,3898.6,393.2
114620,43,F,CIVIL LIABILITY INSURANCE,16/12/2023,UMBRIA,PG,MERCEDES,CLASSE A  W176,835.0,393.2
49533,89,M,TRAVEL ASSISTANCE,29/09/2023,VENETO,TV,OPEL,ZAFIRA 2? SERIE,236.8,32.21
78409,30,M,CIVIL LIABILITY INSURANCE,14/02/2024,SICILIA,PA,VOLKSWAGEN,GOLF 6? SERIE,250.0,393.2
167715,62,M,CIVIL LIABILITY INSURANCE,27/09/2023,VENETO,PD,NISSAN,MICRA 4A SERIE,1900.21,393.2
223683,94,M,TRAVEL ASSISTANCE,03/04/2024,SARDEGNA,CA,NISSAN,QASHQAI,396.11,32.21
221552,53,F,NATURAL DISASTERS,26/08/2024,LOMBARDIA,BS,DACIA,SANDERO 2A SERIE,5000.0,80.59
131469,72,M,CIVIL LIABILITY INSURANCE,14/05/2023,EMILIA ROMAGNA,BO,CITROEN,C3 AIRCROSS,2060.0,393.2
134715,33,F,CIVIL LIABILITY INSURANCE,08/03/2024,CAMPANIA,,FIAT,PANDA 3? SERIE,2128.0,393.2
216269,70,F,CIVIL LIABILITY INSURANCE,08/04/2022,PUGLIA,BA,SUZUKI,Ignis (2016),1690.0,393.2
3560,81,F,CIVIL LIABILITY INSURANCE,30/04/2022,EMILIA ROMAGNA,MO,FIAT,Panda 2a serie,1940.0,393.2
97853,63,F,CIVIL LIABILITY INSURANCE,24/06/2024,LOMBARDIA,CO,LANCIA,YPSILON 3? SERIE,2875.0,393.2
152752,84,M,TRAVEL ASSISTANCE,10/10/2022,SICILIA,AG,FIAT,PUNTO,505.08,32.21
107184,58,F,GLASSES,26/03/2023,LOMBARDIA,MI,CITROEN,C3 1a serie,196.01,47.04
188614,38,M,SOCIOPOLITICAL EVENTS,14/05/2023,LOMBARDIA,BG,RENAULT,SCENIC 3? SERIE,2150.53,94.86
43280,69,M,CIVIL LIABILITY INSURANCE,11/07/2022,LIGURIA,IM,BMW,X2 (F39),882.0,393.2
76057,38,F,CIVIL LIABILITY INSURANCE,02/05/2023,PIEMONTE,TO,FIAT,GRANDE PUNTO,2439.0,393.2
108885,51,M,CIVIL LIABILITY INSURANCE,28/09/2023,SARDEGNA,SS,TOYOTA,YARIS,2060.0,393.2
228231,62,F,SOCIOPOLITICAL EVENTS,05/03/2022,LOMBARDIA,MI,AUDI,Q2,400.0,94.86
45715,48,F,CIVIL LIABILITY INSURANCE,15/06/2024,FRIULI VENEZIA GIULIA,UD,BMW,SERIE 1       (F40),889.0,393.2
53017,34,M,TRAVEL ASSISTANCE,29/07/2024,PIEMONTE,TO,RENAULT,CLIO 4? SERIE,170.48,32.21
95297,39,M,GLASSES,30/10/2022,EMILIA ROMAGNA,PC,SKODA,YETI,107.0,47.04
204743,81,F,CIVIL LIABILITY INSURANCE,06/02/2023,SICILIA,ME,FIAT,600,300.0,393.2
209919,70,M,CIVIL LIABILITY INSURANCE,23/07/2024,LOMBARDIA,MI,RENAULT,KADJAR,7030.0,393.2
145542,63,M,CIVIL LIABILITY INSURANCE,16/04/2022,LIGURIA,SP,FIAT,500X,3181.56,393.2
130942,78,M,GLASSES,28/02/2023,PIEMONTE,TO,OPEL,Insignia,621.81,47.04
68413,36,M,GLASSES,19/07/2023,LOMBARDIA,MN,PEUGEOT,207,800.0,47.04
190668,56,M,CIVIL LIABILITY INSURANCE,22/12/2022,SICILIA,AG,BETA,C5,800.0,393.2
89396,45,F,GLASSES,13/04/2024,PIEMONTE,TO,VOLKSWAGEN,UP!,571.9,47.04
69520,48,F,TRAVEL ASSISTANCE,31/08/2024,CAMPANIA,,AUDI,A1/S1,105.64,32.21
19780,54,F,CIVIL LIABILITY INSURANCE,06/03/2023,CAMPANIA,,FIAT,500 (2007-2016),1222.08,393.2
164283,44,M,SOCIOPOLITICAL EVENTS,21/06/2024,LOMBARDIA,MB,VOLKSWAGEN,GOLF 8A SERIE,814.85,94.86
1744,66,F,CIVIL LIABILITY INSURANCE,11/01/2022,LOMBARDIA,VA,CITROEN,C3 3a SERIE,1485.0,393.2
211675,79,M,TRAVEL ASSISTANCE,27/03/2024,CAMPANIA,,AUDI,A4 4A SERIE,110.48,32.21
140959,47,M,GLASSES,08/01/2024,LOMBARDIA,BS,FORD,TRANSIT CUSTOM 1? S,542.06,47.04
76998,65,M,GLASSES,10/07/2022,PIEMONTE,TO,FIAT,PUNTO 4a SERIE,374.1,47.04
132687,53,M,CIVIL LIABILITY INSURANCE,03/05/2024,UMBRIA,TR,LANCIA,YPSILON 2? SERIE,2526.0,393.2
33474,77,F,CIVIL LIABILITY INSURANCE,07/11/2023,LIGURIA,SP,VOLKSWAGEN,GOLF 7A SERIE,1647.0,393.2
2752,49,F,SOCIOPOLITICAL EVENTS,02/09/2024,SICILIA,TP,PORSCHE,MACAN,2844.9,94.86
223546,52,M,GLASSES,20/02/2024,PIEMONTE,CN,FORD,TRANSIT CUSTOM,550.0,47.04
55330,86,F,TRAVEL ASSISTANCE,07/08/2023,PUGLIA,BA,AUDI,Q3,147.52,32.21
170837,41,F,CIVIL LIABILITY INSURANCE,30/03/2022,PIEMONTE,TO,LANCIA,Ypsilon 2a serie,2550.0,393.2
197565,20,M,TRAVEL ASSISTANCE,28/09/2023,FRIULI VENEZIA GIULIA,UD,PEUGEOT,207,172.0,32.21
120190,40,M,NATURAL DISASTERS,12/07/2024,LOMBARDIA,MI,SMART,FORTWO 3AS. C/A453,510.0,80.59
125522,66,F,CIVIL LIABILITY INSURANCE,16/04/2024,PIEMONTE,NO,JEEP,COMPASS 2? SERIE,500.0,393.2
90967,31,F,THEFT,07/02/2023,SICILIA,CT,FIAT,500L,3800.0,117.56
28465,28,F,GLASSES,23/10/2022,PIEMONTE,TO,FIAT,500 (2015--->),538.65,47.04
33563,83,M,CIVIL LIABILITY INSURANCE,31/12/2021,CALABRIA,RC,MERCEDES,Classe M (W164),3160.0,393.2
3938,56,F,SPECIAL TRAVEL,09/04/2023,LAZIO,RM,OPEL,CORSA 2A SERIE,104.51,23.31
221164,37,M,CIVIL LIABILITY INSURANCE,18/01/2022,CAMPANIA,CE,VOLKSWAGEN,Golf 6a serie,400.0,393.2
156292,36,M,TRAVEL ASSISTANCE,29/09/2023,LOMBARDIA,MI,VOLKSWAGEN,GOLF 7A SERIE,254.28,32.21
127722,62,M,CIVIL LIABILITY INSURANCE,07/10/2022,LOMBARDIA,BS,FIAT,500 (2007-2016),1940.0,393.2
98792,85,M,CIVIL LIABILITY INSURANCE,24/05/2024,LOMBARDIA,CO,TOYOTA,YARIS 3? SERIE,2173.0,393.2
172422,44,F,CIVIL LIABILITY INSURANCE,17/07/2024,PIEMONTE,TO,FIAT,PANDA 3? SERIE,2027.22,393.2
50947,75,M,CIVIL LIABILITY INSURANCE,07/09/2023,PIEMONTE,CN,FIAT,Punto 3a serie,2060.0,393.2
220436,50,M,CIVIL LIABILITY INSURANCE,16/03/2022,CAMPANIA,CE,FIAT,Ducato (1a serie),1311.28,393.2
108242,40,M,TRAVEL ASSISTANCE,08/10/2022,BASILICATA,MT,LANCIA,YPSILON 3a SERIE,103.62,32.21
206250,53,F,TRAVEL ASSISTANCE,24/11/2023,SARDEGNA,SS,CITROEN,C3 1a serie,249.17,32.21
806,59,F,CIVIL LIABILITY INSURANCE,04/03/2022,TOSCANA,PO,CHATENET,CH22,7650.0,393.2
148225,35,M,NATURAL DISASTERS,28/05/2023,PIEMONTE,TO,FIAT,Freemont,4151.0,80.59
216749,78,M,CIVIL LIABILITY INSURANCE,24/01/2023,SICILIA,ME,AUDI,A4 3a SERIE,2060.0,393.2
113465,54,F,TRAVEL ASSISTANCE,24/09/2023,LOMBARDIA,MN,CITROEN,C2,617.44,32.21
52809,87,M,CIVIL LIABILITY INSURANCE,25/11/2022,TOSCANA,GR,LANCIA,Ypsilon,970.0,393.2
3755,48,M,SOCIOPOLITICAL EVENTS,14/02/2022,PIEMONTE,TO,FIAT,500L,2550.0,94.86
6601,59,F,CIVIL LIABILITY INSURANCE,12/09/2023,LOMBARDIA,BS,CITROEN,C4 PICASSO,2060.0,393.2
119789,54,F,NATURAL DISASTERS,10/05/2023,PIEMONTE,TO,FIAT,Panda Cross,2091.57,80.59
81895,56,F,NATURAL DISASTERS,13/07/2021,LOMBARDIA,MI,BMW,Serie 1 (F20),1450.0,80.59
41605,84,F,CIVIL LIABILITY INSURANCE,21/12/2021,SARDEGNA,SS,TOYOTA,Yaris 3a serie,1860.0,393.2
210733,31,M,GLASSES,23/03/2023,CALABRIA,RC,AUDI,A3 3a serie,158.6,47.04
129385,52,M,CIVIL LIABILITY INSURANCE,04/07/2023,LOMBARDIA,MI,FIAT,PANDA 2? SERIE,1586.0,393.2
166728,29,M,CIVIL LIABILITY INSURANCE,02/01/2023,PIEMONTE,TO,FIAT,Grande Punto,1400.0,393.2
74181,53,M,GLASSES,19/02/2024,VENETO,RO,VOLKSWAGEN,GOLF 6A SERIE,507.25,47.04
232447,30,F,NATURAL DISASTERS,13/07/2021,PIEMONTE,TO,OPEL,Corsa 6a serie,2300.0,80.59
191466,44,F,GLASSES,01/06/2022,PIEMONTE,TO,OPEL,Corsa 6a serie,564.64,47.04
150573,54,F,TRAVEL ASSISTANCE,22/08/2022,BASILICATA,MT,fiat,fiorino,120.75,32.21
149264,70,M,CIVIL LIABILITY INSURANCE,02/01/2023,ABRUZZO,PE,TOYOTA,Aygo 2a serie,2100.0,393.2
20843,75,M,CIVIL LIABILITY INSURANCE,07/10/2023,LAZIO,RM,CITROEN,BERLINGO,1700.0,393.2
148581,38,M,GLASSES,10/02/2024,LOMBARDIA,BS,AUDI,A5 1? SERIE,698.63,47.04
18584,25,M,GLASSES,29/09/2022,EMILIA ROMAGNA,RE,BMW,Serie 1 (F40),107.0,47.04
75008,42,F,NATURAL DISASTERS,30/06/2022,PIEMONTE,TO,AUDI,A1/S1,3588.0,80.59
137782,54,M,CIVIL LIABILITY INSURANCE,01/06/2024,PIEMONTE,AL,SEAT,EXEO,2000.0,393.2
121673,35,M,TRAVEL ASSISTANCE,10/05/2024,LOMBARDIA,BG,FIAT,PUNTO EVO,135.03,32.21
220185,54,M,GLASSES,17/07/2023,LOMBARDIA,MI,VOLKSWAGEN,Golf 7a serie,399.41,47.04
187216,70,F,CIVIL LIABILITY INSURANCE,09/04/2024,LOMBARDIA,CO,JEEP,COMPASS 2? SERIE,2128.0,393.2
135148,63,F,NATURAL DISASTERS,17/05/2023,EMILIA ROMAGNA,RA,SEAT,Arona,1327.78,80.59
102620,37,M,CIVIL LIABILITY INSURANCE,18/09/2023,SICILIA,TP,VOLKSWAGEN,PASSAT 6? SERIE,1787.0,393.2
25622,26,F,GLASSES,02/08/2024,LOMBARDIA,SO,FIAT,500  2007-2016,237.0,47.04
228498,71,F,CIVIL LIABILITY INSURANCE,02/10/2023,SICILIA,TP,TOYOTA,AYGO 1? SERIE,500.0,393.2
69967,57,M,TRAVEL ASSISTANCE,26/05/2022,SICILIA,ME,FIAT,PANDA 2a SERIE,148.35,32.21
234187,67,F,CIVIL LIABILITY INSURANCE,17/04/2023,EMILIA ROMAGNA,BO,FIAT,Panda 3a serie,1787.0,393.2
158666,78,M,CIVIL LIABILITY INSURANCE,12/06/2024,VENETO,VI,ALFA ROMEO,GIULIETTA  2010,610.0,393.2
100092,86,M,CIVIL LIABILITY INSURANCE,01/10/2022,VENETO,PD,FORD,FIESTA 5a SERIE,1940.0,393.2
119964,53,F,GLASSES,23/03/2023,VALLE D'AOSTA,AO,FIAT,GRANDE PUNTO,422.2,47.04
89517,76,M,CIVIL LIABILITY INSURANCE,12/10/2024,VENETO,PD,DACIA,DUSTER 2A SERIE,2128.0,393.2
652,70,M,GLASSES,18/03/2024,LOMBARDIA,CO,FIAT,TIPO (2015-->),553.96,47.04
131913,36,F,CIVIL LIABILITY INSURANCE,19/08/2022,MARCHE,AP,CITROEN,C3 3a serie,1100.0,393.2
210094,49,M,CIVIL LIABILITY INSURANCE,20/02/2023,SICILIA,ME,Aprilia,Scarabeo 50,1787.0,393.2
127685,32,M,CIVIL LIABILITY INSURANCE,09/02/2022,TRENTINO ALTO ADIGE,BZ,AUDI,A4 4a serie,840.0,393.2
209718,66,M,CIVIL LIABILITY INSURANCE,04/10/2023,FRIULI VENEZIA GIULIA,UD,HYUNDAI,I10 3A SERIE,1727.89,393.2
66015,58,M,NATURAL DISASTERS,01/06/2024,PIEMONTE,CN,VOLKSWAGEN,PASSAT 8? SERIE,2440.0,80.59
126639,46,F,CIVIL LIABILITY INSURANCE,14/05/2022,LAZIO,RM,FIAT,Doblo 3a serie,1155.0,393.2
165758,72,M,CIVIL LIABILITY INSURANCE,20/06/2023,PIEMONTE,CN,TOYOTA,HILUX,325.0,393.2
83255,41,M,CIVIL LIABILITY INSURANCE,24/09/2023,CAMPANIA,,LAND ROVER,DISCOVERY SPORT,1800.0,393.2
93075,44,M,GLASSES,29/05/2022,PIEMONTE,TO,LANCIA,YPSILON 3a SERIE,549.0,47.04
74769,39,M,CIVIL LIABILITY INSURANCE,16/03/2022,CAMPANIA,,AUDI,TT 2a serie,4000.0,393.2
163193,73,M,CIVIL LIABILITY INSURANCE,10/10/2023,PUGLIA,LE,FORD,FIESTA 4? SERIE,2060.0,393.2
234988,57,F,ADDITIONAL COVERAGES,25/07/2022,CAMPANIA,,JEEP,Compass 2a serie,337.29,13.08
40096,56,F,TRAVEL ASSISTANCE,19/09/2023,PIEMONTE,NO,AUDI,A1 2a SERIE,180.0,32.21
